Ticker,Ticker_YF,currentPrice,regularMarketPreviousClose,averageVolume
SNFF11,SNFF11.SA,,85.46,5633
SNLG11,SNLG11.SA,24.15,24.03,7132
SPTW11,SPTW11.SA,43.84,43.75,2399
SPXS11,SPXS11.SA,9.45,9.43,57803
TEPP11,TEPP11.SA,95.63,95.07,17551
TGAR11,TGAR11.SA,126.98,125.6,62707
TORD11,TORD11.SA,,1.79,79024
TRNT11,TRNT11.SA,120.03,126.91,417
TRXF11,TRXF11.SA,110.94,110.86,95896
VCJR11,VCJR11.SA,94.31,94.15,21071
VCRR11,VCRR11.SA,71.83,71.38,3853
VGHF11,VGHF11.SA,9.33,9.32,528855
VGIP11,VGIP11.SA,93.37,93.55,28487
VGIR11,VGIR11.SA,9.82,9.8,417011
VIFI11,VIFI11.SA,8.25,8.22,25993
VILG11,VILG11.SA,93.1,92.01,27824
VINO11,VINO11.SA,7.77,7.78,170803
VISC11,VISC11.SA,123.41,123.0,102871
VIUR11,VIUR11.SA,,7.4,73041
VLOL11,VLOL11.SA,,,
VOTS11,VOTS11.SA,81.96,81.67,144
VRTA11,VRTA11.SA,87.53,87.75,25695
VSHO11,VSHO11.SA,80.5,80.4,809
VTLT11,VTLT11.SA,97.0,97.08,1325
VVPR11,VVPR11.SA,101.5,101.5,0
WHGR11,WHGR11.SA,9.86,9.86,82363
WPLZ11,WPLZ11.SA,62.29,62.29,94
XPCI11,XPCI11.SA,89.8,89.98,21723
XPCM11,XPCM11.SA,9.13,9.19,3447
XPHT11,XPHT11.SA,0.0,0.0,0
XPIN11,XPIN11.SA,79.12,79.1,10138
XPLG11,XPLG11.SA,110.05,110.07,52608
XPML11,XPML11.SA,116.0,116.14,109723
XPPR11,XPPR11.SA,25.74,25.35,12733
XPSF11,XPSF11.SA,8.29,8.27,66046
ZAVI11,ZAVI11.SA,135.45,136.0,4439
